CORSO DI STUDI,PAROLE CHIAVE - IT
ARCHITETTURA,reuse; industrial buildings; multipurpose center; home for students; wood; Cernusco sul Naviglio; ex Garzanti
INGEGNERIA INFORMATICA,sound field rendering; pre-echoes; post-echoes; Hough transform; loudspeaker array
INGEGNERIA INFORMATICA,computational model; brain networks
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,shallow water equations; uncertainty propagation; flood risk assessment; Monte Carlo method; 1D hydraulic models
INGEGNERIA BIOMEDICA,vascular homograft; decellularization; automatic; biologic tissues
ARCHITETTURA,reuse; Caravaggio; public spaces
INGEGNERIA INFORMATICA,fieldbus technology; home and building automation; KNX standard; KNX switch actuator; energy awareness
INGEGNERIA INFORMATICA,action; recognition; kinect; sensor; model; template based; template; sport; classification; multiplayer; space; images; data-set
GESTIONE DEL COSTRUITO,vendor rating; facility management
INGEGNERIA BIOMEDICA,wearable device; Tourette syndrome
INGEGNERIA MECCANICA,modeling vehicle; braking system; identification of the parameters
INGEGNERIA FISICA,laser; ferromagnet; spin; spin flip disexcitation of electrons; colloidal lithography; point contact; spintronics
INGEGNERIA GESTIONALE,open innovation; open business model; closed business model; co-creation; crowdsourcing; open source software
INGEGNERIA INFORMATICA,ellipse bidirectional array; speaker system; line array
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,knowledge based economy; global city; cluster; healthcare
INGEGNERIA INFORMATICA,structural design; robot testing; experiments; mobile robot; wheg; whegs; morphological computation; rough terrain; embodiment; outdoor; rover; stair climbing; obstacle climbing; obstacle overcoming; cerebellum; remote control; player's plugins; LionHell; LionHell McMillan; McMillan
ARCHITETTURA,milanese farms; Cascina Cuccagna; Cascina Campazzino; urban regeneration; upgrading public space; local global dimension; participatory architecture; active citizenship; urban sociology; community gardens; parco agricolo sud
ARCHITETTURA,urban heat island; vegetation; mitigation
ARCHITETTURA,theatre biennale; scenic devices; urban outfit; reversibility
ARCHITETTURA,co-work; network; office
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,partnership; PPP; project financing; leasing
ARCHITETTURA,Salvador de Bahia; football world cup; green areas
ARCHITETTURA,type and typology; historical characteristics of building types; design and analysis of twenty case studies in Europe; definition module unit elementary; definition of a matrix calculation
INGEGNERIA BIOMEDICA,NMES; FES; muscle fatigue; asynchronous stimulation; electrode array; interleaved pulses; cycling; spatially distributed stimulation
GESTIONE DEL COSTRUITO,built heritage management and development;  gentrification; borgo WÃ¼hrer; territorial development; increase in property values
ARCHITETTURA,Bovisa; relational spaces
INGEGNERIA DELLE TELECOMUNICAZIONI,cognitive radio networks; game theory; competition; spectrum selection; Wardrop equilibrium
ARCHITETTURA,Visconti Arese Litta Palace; Museum of Charity; baroque architecture; historical garden
ARCHITETTURA,conservation; programme and preventive preservation; cultural heritage
INGEGNERIA AERONAUTICA,ejector sistems; engine nacelle cooling; ejector dilutors; jet mixing enhancement; domestic burner; thermal efficiency
ARCHITETTURA,islamic architecture; tradition; regionalism; Hassan Fathy; Aga Khan award
ARCHITETTURA,waterfront; artificial land; redevelopment of former industrial buildings; Rotterdam
ARCHITETTURA,context; tabula rasa; fragmentation; unit; identity; time; place; continuity; city; landscape; passage; connection; border; limit; contradiction; complexity; scale
INGEGNERIA GESTIONALE,strategic analysis; business plan; Turkey ; enginering consultancy company; MWH
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,Milan railway yards; Porta Genova; housing; public spaces
ARCHITETTURA,jet lag; hotel
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,housing; Milan; mixitÃ¨; parks; waterfront
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,financial crisis; recession; real estate bubble; U.S. residential market; Italian residential market; milanese residential market
ARCHITETTURA,culture; contrast; library; redevelopment; reuse
INGEGNERIA MECCANICA,railway axle; crack; fatigue; cold rolling; residual stresses; AFGROW
ARCHITETTURA,hub; sensible city; urban space; square; transversality; technology; net; interactivity; connection
ARCHITETTURA,health care structure; emergency; textiles; advanced medical post; hygiene; pneumatic structure
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,od matrix; mobility; traffic counts; matrix estimation; origin; destination; trip ends; network demand
ARCHITETTURA,Villa Calini; renovetion old manor; expansion town hall; old new relationship; exhibition venue
INGEGNERIA GESTIONALE,Bravofly; international flight ticket; online tourism; travel package; OTA
ARCHITETTURA,sport; hotel; hospitality; tourism; mountain; Bergamo; sports facility; leisure
INGEGNERIA BIOMEDICA,tissue engineering; bladder; decellularization; bioreactor; mechanical characterization; ultimate tensile strength
ARCHITETTURA,limit; soil; infrastructure; regeneration; pier; theatre
INGEGNERIA BIOMEDICA,gait; analysis; AFO; cerebral; palsy; CP; equinus; crouch
INGEGNERIA SPAZIALE,hypothesis of continuum; molecular method; breaking; MSC Adams/View command language
ARCHITETTURA,intercultural centre; industrial building; Montedison; viale Ortles
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,student residence; university; Bicocca; spin-off; housing; social housing
ARCHITETTURA,archaeological site; musealization; museum; housing; fortification
ARCHITETTURA,cistercian abbey; staffarda; symbols; architecture language
ARCHITETTURA,widespread musical centre; suspension of the mass; volumetric subtraction; base which directs the gaze
INGEGNERIA MECCANICA,six axis load cell; static calibration; sensor accuracy; sensitivity analysis
ARCHITETTURA,Serio river; urban role; railway station; public spaces
INGEGNERIA MECCANICA,balanced scorecard; performance management; maintenance scorecard; lagging and leading measurement; strategic map; corporate perspective; maintenance
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,experimentation of a new way of regulation; retail activities; liberalization of retail activities
ARCHITETTURA,polveriera di Mompiano; disused military area; redevelopment
ARCHITETTURA,Bovisa; gasometers; riqualification; town planning; landscape; relations
ARCHITETTURA,landscape; OltrepÃ² mantovano; rural culture; rural landscape; river landscape; cultural planning; programming and planning; European Structural Funds
ARCHITETTURA,Siltal; Abbiategrasso; trees; greenhouses; faculty; agrarian; industry; conversion; reuse; agriculture
ARCHITETTURA,diocesano museum; parc
ARCHITETTURA,planisection; section; method; plan; systems
GESTIONE DEL COSTRUITO,energy; efficiency; built environment
INGEGNERIA DELL'AUTOMAZIONE,electromagnetic actuator; finite element; vibration control; feedback; beam; vibration modes; natural frequency
INGEGNERIA DEI MATERIALI,electrochemical synthesis; TMOs
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,Mella river; water quality modeling; QUAL2K model; LIMeco index; current status; recovery scenarios
ARCHITETTURA,hemp; lime; natural; innovative; breathable; sparayed; hygroscopic; cast; sustainable architecture
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,L.R. 12/2005; plan document
ARCHITETTURA,social housing; sustainability; financing; housing; public private partnership; housing policies
INGEGNERIA BIOMEDICA,clinical risk; radiotherapy
INGEGNERIA GESTIONALE,warehouse management; security issues; optimize layout of warehouse; Italian laws and obligations; storage capacity
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,landuse impacts; transportation; Istanbul; project evaluation; 3rd Bosphorus bridge
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,land use and transport; traffic congestion; Hanoi; sustainable urban transport; urban policies
INGEGNERIA CIVILE,models for flood forecasting; evaluation of the performance; hydrometric peak; pre-alarm threshold
ARCHITETTURA,Canzo; public spaces
ARCHITETTURA,cittadella; bioagricola; briantea
ARCHITETTURA,archeological area; Sagunto
INGEGNERIA DEI MATERIALI,composites; glass fiber; 3D woven fabrics; mesoscopic characterization; yarn
INGEGNERIA GESTIONALE,oil; trends; interdependencies; pricing
ARCHITETTURA,landscape; park; landscape protection; Padernello
INGEGNERIA MECCANICA,maintenance; world class manufacturing; root cause analysis; lubricant management; spare parts management; surface mount technology; high pressure forming; screen printing; injection molding; condition based maintenance; dew point measures; thermography
ARCHITETTURA,city; campus; university; housing; industrial
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,railway yards Milan; Porta Genova; housing; public space
ARCHITETTURA,bus rapid system; Belgrade; Serbia
INGEGNERIA MECCANICA,rotating drum; flat track; ruotavia rim
ARCHITETTURA,threshold; railway
INGEGNERIA SPAZIALE,composite structure; dimensional stability; coefficient of thermal expansion (CTE); fiber Bragg grating (FBG) sensors; displacement measuring interferometer (DMI); space environment; vacuum chamber
INGEGNERIA ELETTRONICA,biomedical sensor
ARCHITETTURA,post disaster reconstruction; post conflict reconstruction; sustainable reconstruction; multicriteria analysis
ARCHITETTURA,nomadism; Antarctica; shelter; inflatable; pneumatic structures; the egg
ARCHITETTURA,Caravaggio; Treviglio; park
ARCHITETTURA,city; housing
ARCHITETTURA,embodied energy; life cycle assessment; urban renewal; global warming potential; demolition
ARCHITETTURA,green ecological network; urban open space; green infrastructure
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,Limbiate; morphology; morphogenesis; socioeconomic analysis; multidimensional analysis; Pgt
ARCHITETTURA,Franciacorta; winery
ARCHITETTURA,museum; office
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,Guarapiranga reservoir basin; Aquatox; nutrients; source apportionment; scenario analysis
ARCHITETTURA,stadio Filadelfia; vacant lands; sports facilities; Turin
ARCHITETTURA,pier; port; Naples; sea; landscape; waterfront; neapolitan materials; public space
INGEGNERIA MECCANICA,fixture design; setup planning
INGEGNERIA SPAZIALE,NiTi wire; shape memory alloy; legged rover
ARCHITETTURA,Milano; Porta Genova; station area; disposal; project; redevelopment; Naviglio Grande; park; theatre; residential buildings
ARCHITETTURA,railway; union; hinge; redevelopment; reuse; analysis; cataloging; landscape; territory; station; train
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,sustainable transportation; congestion charging; policy acceptability
ARCHITETTURA,low energy heating cooling system; PV solar; heat pump; VAN; NZEBs; design builder
PIANIFICAZIONE TERRITORIALE URBANISTICA E AMBIENTALE,green belt; greenway; connections; system; sustainable development
ARCHITETTURA,architecture; public spaces; historical layering
ARCHITETTURA,new nomads; lifestyle; exposure; private; public; inbetween; space; quality; spatial; hierarchy; programs; catalyst; interaction; housing; local; neighborhood; scattered; agglomerated; pedestrian; airport; train station; highway; infrastructure; transportation; need; behavior; share; digital; internet; information; communication; technology; change; knowledge; experience; interest; virtual; physical; blur; boundary
INGEGNERIA NUCLEARE,multiphysic model; TRIGA; linear stability analysis; heat exchange
INGEGNERIA CIVILE,stability; eurocode; bending moment; critical moment; length
ARCHITETTURA,Sardegna; nuraghi; small architectures; landscape itinerary
INGEGNERIA GESTIONALE,wine; trade; Colombia; Italy; wine sector; production; consumption
INGEGNERIA DEI MATERIALI,creep; strain behavior of a steel used in steam turbine rotors
INGEGNERIA ENERGETICA,redox flow battery; energy storage; fluid dynamic; electrode surface
ARCHITETTURA,nodes; territorial effects; infrastructure; Abbiategrasso; Albairate; Milan; station; stations; rail; land analysis; z score; urban; historic rail; urban analysis; landscape; project; railway; mobility
ARCHITETTURA,urban commercial space; Milan; retail design
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,railway; services; transportation; Romolo; station
GESTIONE DEL COSTRUITO,public real estate; SWOT analysis; project financing; securitisation
INGEGNERIA GESTIONALE,FOREX; Colombia; inflation; exchange rate; technical analysis; fundamental analysis; monetary; regime
ARCHITETTURA,MÃ©nilmontant; urban landscape; transformation; myth
INGEGNERIA MECCANICA,component replacement decision; model of optimal replacement time
INGEGNERIA INFORMATICA,skin detection; OpenCV; victim detection; RoboCup; image analysis; HSV
INGEGNERIA BIOMEDICA,acemannan; PEG; hydrogel; wound healing; regenerative medicine
ARCHITETTURA,urban edge; student housing; highway; infrastructural riqualification; youth forum
INGEGNERIA NUCLEARE,small modular reactors; economical analysis; bottom-up cost estimation
INGEGNERIA INFORMATICA,application-specific processors; design space exploration; chip multi-processors; artificial neural network
INGEGNERIA MECCANICA,kai zen; standardization; spaghetti chart; eoq
ARCHITETTURA,-
ARCHITETTURA,quarry; Prun; Lessinia; Valpolicella
INGEGNERIA DEI MATERIALI,electrochemical deposition; nickel cobalt; NiCO; hard magnetic material; ferrite; nickel sulfamate; nanowires; nanoparticles; AAO; forced flow cell; centrifugal cell; barium strontium ferrite; Fe12O19Ba0.2Sr0.8
ARCHITETTURA,sustainability; energy; reuse; soft mobility; Isola district; Milano; cavalcavia Bussa
INGEGNERIA GESTIONALE,business impact analysis; disaster recovery; IT risks
ARCHITETTURA,Pallanza; Franco Angelo Caruso di Spaccaforno
ARCHITETTURA,cultivations; greenhouses; fields; sport activities; entertainment; solar panels; rain water collection
ARCHITETTURA,patrimoniality; identity; public spaces
ARCHITETTURA,Oxylane; Oxylane village; Decathlon; sport retail; sport; sport village; public private partnership; Milan; Scalo Romana; ATU
ARCHITETTURA,Stefano Boeri; mutations; green; profession; semiology; urbanistic; mass media; politics; contemporary architecture; architecture and society
ARCHITETTURA,market hall; Milan; Lorenteggio; Selinunte; QT8
ARCHITETTURA,water; hydropower; turbine; museum; library; valley
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,plan; services; Cremona; subsidiarity; requirements; accessibility
ARCHITETTURA,acessibility; riqualification; sport; leisure fun; housing
ARCHITETTURA,Milan; creative city; creative class; refugees centre; refugees; immigrants;  interethnic city
ARCHITETTURA,sprawl; no sprawl; town hall; city hall; industrial area
ARCHITETTURA,privatization; abandonment; minor historic centers; Italian cultural heritage; illegal buildings; geological risk; unfinished works; public procurement; financial crisis; the district Zingone; gated community; mafia; illegal dumping; corruption; urban sprawl; landscape common good; subsidiarity; participation; conservation; political role of architects; temporary reuse; confiscated properties; antimafia commission; political cohesion; spread hotel
ARCHITETTURA,school; school building; Mareno di Piave; Treviso; technology center; green building; reticular structures; steel; brise-soleil; green walls; roof gardens
ARCHITETTURA,lake; Netherlands; Grevelingen; port; dike
ARCHITETTURA,health effects; building; hygienic evaluation
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,MSWI fly ash; stabilization; sodium bicarbonate; accelerated carbonation; heavy metals recovery
ARCHITETTURA,self-construction; alpine architecture; green building; agricolture
ARCHITETTURA,embassy; Switzerland; Africa; Nairobi
ARCHITETTURA,wall; bivuac
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,actions; indicators; wells
INGEGNERIA MECCANICA,"simulation, Monte Carlo method; project management; automotive"
ARCHITETTURA,graphic project of website; website
INGEGNERIA AERONAUTICA,non modal stability; stenotic geometry; transient growth; optimal initial condition; adjoint operator
ARCHITETTURA,Magentino
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,David Harvey; capitalist city; accumulation by dispossession; globalization; social space; just city
ARCHITETTURA,plastic number; proportion; architecture and liturgy; abacus; morphotheek; Vaals; Dom Hans van der Laan
INGEGNERIA MECCANICA,gold alloys; goupille; white gold; red gold; Ni-free alloys
INGEGNERIA CIVILE,fiber reinforced concrete; FRC; UHPFRC; TRC; scale effect; axial force
INGEGNERIA GESTIONALE,mass customization; literature review; mass customization concept; levels of mass customization; success factors of mass customization; enablers of mass customization
ARCHITETTURA,yacht; ferryboat; sea; water; ship; architecture
ARCHITETTURA,building with waste; comfort; reversibility
ARCHITETTURA,skyscraper; office tower; Porta Romana's railway station; disused areas requalification
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,museum; Bovisa; Milan
INGEGNERIA ELETTRICA,current measurement; Hall effect sensors; magnetic sensor array; Rogowski coil; crosstalk rejection
ARCHITETTURA,urban regeneration; designing open space; sustainability
INGEGNERIA MECCANICA,crack; Brazilian disc; fringe; photoelasticity
INGEGNERIA GESTIONALE,corporate sustainability; SNS; Facebook
INGEGNERIA MECCANICA,alignment tool; elevator guide rail; straightness checker; ride comfort
ARCHITETTURA,Manhattan; bike; greenway; underground; waterfront; river
INGEGNERIA GESTIONALE,reengineering; redesign; Whirlpool; Trento; stock level; reduction of costs
ARCHITETTURA,redevelopment; sustainability; complexity and contradiction; Vercelli
INGEGNERIA GESTIONALE,industrial services; quantitative study; industrial marketing
INGEGNERIA EDILE - ARCHITETTURA,school complex; energy efficency; high performance; renewable energy
INGEGNERIA MECCANICA,powder steel; ultrasounds; density of green compact; sintered steel; Young modulus; shear modulus; comprimibility modulus; Poissonâ€™s ratio
ARCHITETTURA,archaeological park; archaeological shelters; Marmirolo; Gonzaga; safeguard archaeological remains; archaeological ruins; Mantova; archaeological pavillon
INGEGNERIA GESTIONALE,stock picking; neural network; fuzzy logic; fundamental analysis
INGEGNERIA GESTIONALE,rating; network contract; enterprise networks; interfirm networks; business networks; SMEs; small and medium enterprises; SBA; small business act; governance; alliances; transaction costs; collaboration
INGEGNERIA GESTIONALE,culture; open innovation; team management
ARCHITETTURA,border; public spaces; redevelopment; waterfront
INGEGNERIA EDILE - ARCHITETTURA,spa; wellness; stone; light; innovation; daylight; Portugal
INGEGNERIA CIVILE,dry closure; Almagrera tailings dam; model
INGEGNERIA EDILE - ARCHITETTURA,Cogliate; Palazzo Rovelli; Parco Groane; library; town hall; terracotta
INGEGNERIA CIVILE,landslide investigation; remote sensing; permanent scatterers interferometry; rainfall data; deep seated gravitational landslide
ARCHITETTURA,city; Verona; photograpy
INGEGNERIA EDILE - ARCHITETTURA,museum; Peschiera del Garda
INGEGNERIA GESTIONALE,school; funding formula
INGEGNERIA EDILE - ARCHITETTURA,concert hall; acoustics; Villa Greppi; underground
INGEGNERIA EDILE - ARCHITETTURA,town fair; urban center; hotel; court
INGEGNERIA GESTIONALE,mobile web; mobile application; mobile advertising; mobile content; publishers; new media
INGEGNERIA MECCANICA,friction; linear guideways; friction modeling; friction identification; FEM friction modeling
INGEGNERIA EDILE - ARCHITETTURA,green; expo; modules; scheme design; wood;
INGEGNERIA GESTIONALE,vendor evaluation systems; benefits vendor evaluation systems; vendor evaluation process; design variables vendor evaluation systems
INGEGNERIA EDILE - ARCHITETTURA,Pordenone; urban recovery; project's complexity
INGEGNERIA MECCANICA,coupling of the motor and transmission; direct and inverse efficiencies; transmission inertia; brushless electrical motor
INGEGNERIA DEI SISTEMI EDILIZI,Diocesan museum; corso Porta Ticinese; PGT; architectural engineering; addition
INGEGNERIA GESTIONALE,health technology assessment; decision making; multicriteria decision analysis; evidence; multidisciplinary approach
CIVIL ENGINEERING FOR RISK MITIGATION,NaTech; earthquake; flood; industrial accident; risk analysis; analytic hierachy process; dangerous substances; damage probability; domino effect; natural disasters; vulnerability
INGEGNERIA GESTIONALE,"maintenance engineering; telecommunication sector; problem management; incident
management; maturity assessment"
INGEGNERIA GESTIONALE,remote order picking system; autonomous vehicle storage and retrieval system; warehousing; simulation model; design framework
INGEGNERIA DEI SISTEMI EDILIZI,reorganization of the lake front; river Adda; Calolziocorte; design of new gymnasium building for school Lorenzo Rota
INGEGNERIA GESTIONALE,MFT; market for technology; strategy; firm level determinants; technology commercialisation strategy; licensing; patent; start up; NTBF; new technology based firms; financing; human capital; soft and hard company
INGEGNERIA GESTIONALE,innovation; design thinking; organisations; organisational learning; organisational culture; professional services
ARCHITETTURA,greenways; ecological networks
ARCHITETTURA,laser scanner; virtual reality; reverse modeling; cultural heritage
INGEGNERIA CIVILE,sediment transport; flood risk; river morphology; check dam; external source; non-uniform grain size; Mallero river
INGEGNERIA GESTIONALE,machine tools; modelling; process optimization; energy efficiency; sustainable manufacturing
INGEGNERIA GESTIONALE,functional data analysis; FDA; alignment; registration; financial cycles
INGEGNERIA MECCANICA,digital image correlation; speckle pattern; optimization; pattern generation; mean intensity gradient; displacement deformation measurement; tensile test; welded samples
INGEGNERIA EDILE - ARCHITETTURA,recovery horse stables and Bocconi's villa;  San Giorgio Park; Casorate Sempione; international equestrian center
INGEGNERIA EDILE - ARCHITETTURA,sustainability; building rehabilitation; LCA
INGEGNERIA GESTIONALE,lean manufacturing; just in time; total quality management; total productive maintenance; human resources management; environmental sustainability; social sustainability; environment; worker well being
INGEGNERIA GESTIONALE,complexity; decision making; supply chain
ARCHITETTURA,Expo village
INGEGNERIA GESTIONALE,segmentation; execution; trade marketing; Coca Cola FEMSA; Brazil; retail; bottler
INGEGNERIA GESTIONALE,healthcare; technology; smartphone; mobile; mobility; care; patient
ARCHITETTURA,urban landscape; matching; lobbying
INGEGNERIA GESTIONALE,social media; social network; newspaper; Facebook
INGEGNERIA EDILE - ARCHITETTURA,sustainability; child; nature; integration
INGEGNERIA GESTIONALE,gas exchange; NBP; PSV; gas market
INGEGNERIA GESTIONALE,renewable energy; wind power; supply chain; employment
ARCHITETTURA,Dharavi; Mumbai; incremental process; cooperation; urban planning; URBZ
INGEGNERIA GESTIONALE,innovation; e-health; ICT
INGEGNERIA GESTIONALE,industrialization; foot scanner; user friendly; case
ARCHITETTURA,blue infrastructure; canale Virgilio; hydrography; water networks
INGEGNERIA GESTIONALE,team innovation; healthcare; ICP
INGEGNERIA GESTIONALE,social media; performance; measurement model; key performance indicator; KPI
INGEGNERIA GESTIONALE,smart grid; Italy; technological solutions; function; e-mobility
INGEGNERIA GESTIONALE,purchasing; purchase department; procurement; integration; internal relationships; external relationships; performance measurement systems; strategic partnership; supply chain management; value chain management
INGEGNERIA GESTIONALE,classification; world bank group; education; projects
INGEGNERIA GESTIONALE,container terminal; productivity; information technology; asset; automation; investments
ARCHITETTURA,library; cultural center; ceramic; shell; city center; ventilated faÃ§ade
INGEGNERIA GESTIONALE,social network; Facebook; top brand; startup
INGEGNERIA GESTIONALE,HRM; business intelligence; e-HRM; HR metrics
INGEGNERIA MECCANICA,modal analysis; structural healt monitoring; frequency response function; damage detecting; frequency shift
INGEGNERIA MECCANICA,n-heptane; spary A; KHRT: blob injector; spray penetration; vapor penetration; mixture fraction; ECN; OpenFoam
INGEGNERIA GESTIONALE,management complexity model; product complexity assessment
INGEGNERIA GESTIONALE,sustainability; triple bottom line; healthcare; strategy; barrier; stakeholders
INGEGNERIA GESTIONALE,industrial cluster; renewables energy; energy cluster
INGEGNERIA GESTIONALE,large project management; project phases; interdependences; concurrent engineering
ARCHITETTURA,Palazzo del Capitano; seismic vulnerability; consolidation project
INGEGNERIA GESTIONALE,human resources; e-HR; Enterprise 2.0
INGEGNERIA GESTIONALE,renewable energy; gas turbine; natural gas; solar energy; wind energy; Brazil
INGEGNERIA GESTIONALE,mobile marketing & service; distinctive features; location based services; privacy
ARCHITETTURA,Mantua
INGEGNERIA GESTIONALE,e-invoice
ARCHITETTURA,church; apse; ecclesiastical architecture; altar; transept; chapel; nave; aisle
INGEGNERIA GESTIONALE,parliament; e-democracy; social media; framework
INGEGNERIA GESTIONALE,photovoltaic; modules; inverter; market; regulatory system; 2011; supply chain; technology
INGEGNERIA GESTIONALE,costs; Italy; construction companies; budgeting; cost control; gap analysis; construction contracts
INGEGNERIA MECCANICA,multilayer insulator conductivity; aerogel; cryogenic thermovacuum
ARCHITETTURA,Solferino; Gonzaga; Orazio; Pedemonte
INGEGNERIA GESTIONALE,lean; supply chain
INGEGNERIA GESTIONALE,project management; international development projects; development cooperation; non governamental organizations; stakeholders; beneficiaries; guidelines; logical framework approach; logframe
INGEGNERIA GESTIONALE,product service system; servitization; maturity assessment; business model
ARCHITETTURA,quarry; basalt; tower; museum
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),design; sustainability; reuse; street furniture; innovation; ecological
DESIGN DEGLI INTERNI (INTERIOR DESIGN),exhibit design; temporary exhibition; tailoring; fast fashion; identity; Palazzo del Ghiaccio
DESIGN PER IL SISTEMA MODA,ornament; tech; accessory; children; jewelry; function
ARCHITETTURA,urban typology; Cho; Li-Fang; urban boundary; social housing
INTERIOR DESIGN,Darsena; Milan; Milano; new Darsena; city; nature
DESIGN & ENGINEERING,seat; helicopter; AW 139; rotorcraft; interior; aeronautical seat; aviation; foldable; joint; swiveling; emergency medical service; helo; AgustaWestland
DESIGN DELLA MODA (FASHION DESIGN),totem; animal; native americans; protection; macramÃ¨; techno textiles
DESIGN DEGLI INTERNI (INTERIOR DESIGN),artist in residence; accommodation; tribal marketing
DESIGN DEGLI INTERNI (INTERIOR DESIGN),L'Aquila; temporary shelters; reactivation; ephemeral; shops; historical paths; performance
DESIGN DEGLI INTERNI (INTERIOR DESIGN),Bovisa; public spaces; reuse; students
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),time; plastic; signs; surface; skin; aging; imperfections; errors; nature
DESIGN DEL SISTEMA PRODOTTO (PRODUCT SERVICE SYSTEM DESIGN),collaborative services; sustainability; PSS; community garden
ARCHITETTURA,locality; enclosure; social thresholds; neighborhood; public space; precinct; module
DESIGN DEGLI INTERNI (INTERIOR DESIGN),community garden; urban farming
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),asphalt; specialty
DESIGN DEGLI INTERNI (INTERIOR DESIGN),Milan; historical workshops; crafts; silver; five senses; revaluation; historical memory
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),interaction design; cognitive psychology; gambling; game design; procedural rhetoric; meaningful play; sense making; interactive esperience; pathological gambling; emotions; comunicazione
DESIGN DELLA MODA (FASHION DESIGN),research; handicraft; matter; handiness; know how; made in Italy; virtual spaces; worlds materials
DESIGN DEGLI INTERNI (INTERIOR DESIGN),connection; development; exchange; cooperation; interaction; territorial capital and social
DESIGN DEGLI INTERNI (INTERIOR DESIGN),modular; shelter; oasis; urban nomad; nomadism; city; wifi
PROGETTO E INGEGNERIZZAZIONE DEL PRODOTTO INDUSTRIALE (DESIGN & ENGINEERING),digital fabrication; bicycle; additive manufacturing; makers
ARCHITETTURA,housing; culture; daily life; space quality
DESIGN DEGLI INTERNI (INTERIOR DESIGN),mountain; exhibition; tourism
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),story; social networks; audiovisual; conversation; user; translation
DESIGN DEGLI INTERNI (INTERIOR DESIGN),emerging writers; literature; open source; urban activism; speakers corner; parasite; parasitism; sensible space; literary site; Milan; Repubblica Milano; zone 2; installation; bottom-up; underground; train station; metro; text; writing
DESIGN DELLA MODA (FASHION DESIGN),archive; fashion; marketing; culture; business; 5 sensi; app per Ipad
DESIGN DEGLI INTERNI (INTERIOR DESIGN),community garden; urban orchard; food;  sustainability
DESIGN DELLA MODA (FASHION DESIGN),Italy; district organization; artigianalitÃ ; Campania; design; design centre; craftsmanship
DESIGN DEGLI INTERNI (INTERIOR DESIGN),prison; relationship; recycle; reuse; partecipatory planning
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),system design for sustainability; product service system; sustainable  mobility; solar powered vehicle; ambulance; ibrid vehicle; developing contest; India; low income contest; sustainable ambulance
PROGETTO E INGEGNERIZZAZIONE DEL PRODOTTO INDUSTRIALE (DESIGN & ENGINEERING),safety; toys; regulations; certifications; brands; wellness; ergonomics
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),lighting; jewellery; display; jewellery store; display cases
DESIGN DEGLI INTERNI (INTERIOR DESIGN),habitat; albergo diffuso; flexibility; sharing; function; low specialization's degree
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),retail; visual merchandising; furniture; concept retail; showroom; communication; furniture system; industrial districts; distribution furniture chains; furniture sell; italian life style; product system; business differentation; identity system; integrative communication support; real domesticity
DESIGN DEGLI INTERNI (INTERIOR DESIGN),exhibition; cars; body shops; coachwork; Triennale of Milan
PROGETTO E INGEGNERIZZAZIONE DEL PRODOTTO INDUSTRIALE (DESIGN & ENGINEERING),materials; sound; design; electric; guitar; bass
DESIGN DEGLI INTERNI (INTERIOR DESIGN),exhibition; Olivetti; triennale; typewriters; computer
PROGETTO E INGEGNERIZZAZIONE DEL PRODOTTO INDUSTRIALE (DESIGN & ENGINEERING),smell design; scent design; olfaction; perfume; fragrances; diffuser; nose; scented materials; scented plastics
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),chinese esthetics; chinese color; chinese symbols; chinese folk arts; chinese world value; chinese life style; methodology of design for the chinese market
DESIGN DEL SISTEMA PRODOTTO (PRODUCT SERVICE SYSTEM DESIGN),collaborative consumption; new cultural experience; thematic community; cultural marketplace; people personal skills
